PhraseId,Sentiment
156061,2
156062,2
156063,2
156064,2
156065,2
156066,2
156067,0
156068,0
156069,0
156070,2
156071,2
156072,2
156073,2
156074,2
156075,0
156076,2
156077,0
156078,2
156079,2
156080,2
156081,1
156082,2
156083,2
156084,2
156085,2
156086,2
156087,2
156088,2
156089,2
156090,0
156091,2
156092,2
156093,2
156094,2
156095,2
156096,2
156097,1
156098,1
156099,2
156100,4
156101,2
156102,4
156103,3
156104,2
156105,0
156106,2
156107,1
156108,2
156109,3
156110,2
156111,3
156112,2
156113,2
156114,2
156115,2
156116,0
156117,0
156118,0
156119,0
156120,0
156121,2
156122,2
156123,3
156124,0
156125,3
156126,3
156127,3
156128,4
156129,2
156130,4
156131,2
156132,4
156133,2
156134,2
156135,2
156136,4
156137,2
156138,2
156139,2
156140,1
156141,1
156142,0
156143,2
156144,0
156145,0
156146,0
156147,2
156148,2
156149,2
156150,0
156151,2
156152,2
156153,2
156154,2
156155,1
156156,2
156157,1
156158,1
156159,2
156160,2
156161,1
156162,1
156163,2
156164,2
156165,0
156166,3
156167,2
156168,3
156169,2
156170,2
156171,3
156172,2
156173,2
156174,2
156175,2
156176,2
156177,2
156178,2
156179,1
156180,2
156181,2
156182,0
156183,2
156184,0
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,0
156198,0
156199,0
156200,2
156201,2
156202,2
156203,2
156204,2
156205,3
156206,0
156207,3
156208,0
156209,3
156210,2
156211,2
156212,2
156213,2
156214,2
156215,0
156216,2
156217,2
156218,0
156219,1
156220,0
156221,1
156222,1
156223,1
156224,1
156225,1
156226,1
156227,2
156228,1
156229,2
156230,0
156231,2
156232,2
156233,2
156234,2
156235,0
156236,3
156237,2
156238,3
156239,2
156240,3
156241,4
156242,4
156243,2
156244,2
156245,0
156246,2
156247,2
156248,0
156249,2
156250,2
156251,2
156252,1
156253,1
156254,1
156255,1
156256,1
156257,1
156258,1
156259,3
156260,2
156261,2
156262,2
156263,2
156264,2
156265,0
156266,2
156267,2
156268,1
156269,2
156270,2
156271,0
156272,3
156273,2
156274,2
156275,3
156276,3
156277,4
156278,4
156279,4
156280,4
156281,3
156282,3
156283,0
156284,2
156285,2
156286,3
156287,4
156288,4
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,2
156297,2
156298,2
156299,2
156300,2
156301,2
156302,3
156303,0
156304,2
156305,2
156306,2
156307,2
156308,4
156309,2
156310,2
156311,2
156312,1
156313,1
156314,2
156315,0
156316,2
156317,2
156318,2
156319,0
156320,0
156321,0
156322,0
156323,0
156324,2
156325,4
156326,2
156327,2
156328,4
156329,3
156330,3
156331,2
156332,2
156333,4
156334,2
156335,2
156336,2
156337,2
156338,0
156339,0
156340,0
156341,4
156342,2
156343,2
156344,0
156345,2
156346,3
156347,2
156348,0
156349,3
156350,0
156351,3
156352,2
156353,3
156354,3
156355,0
156356,2
156357,2
156358,2
156359,2
156360,0
156361,2
